Code,Group,Group_color,Color,Vacant_colors,Hierarchy
polyketide,pks,pks,#a6cee3,,Antismash
nonribosomal_peptide,nrps,nrps,#1f78b4,,PRISM
melanin,melanin,ripp,#b2df8a,,SEMPI
ectoine,other,saccharide,#33a02c,,DeepBGC
pentangular_polyphenol,other,melanin,#fb9a99,,RRE
nrps-independent_siderophore_synthase,other,other,#e31a1c,,PRISM-supp
angucycline-type,pks,terpene,#fdbf6f,,ARTS
angucycline,pks,alkaloid,#ff7f00,,
butyrolactone,ripp,hybrid,#cab2d6,,
class_i_lantipeptide,ripp,core,#6a3d9a,,
lasso_peptide,ripp,regulatory,#ffff99,,
nis_synthase,other,resistance,#b15928,,
acyl_amino_acids,other,base,#d4ced6,,
aminocoumarin,other,,,,
amglyccycl,other,,,,
arylpolyene,other,,,,
betalactone,other,,,,
blactam,other,,,,
bottromycin,other,,,,
butyrolactone,other,,,,
cdps,other,,,,
cyanobactin,other,,,,
fatty_acid,other,,,,
furan,other,,,,
fungal-ripp,ripp,,,,
glycocin,ripp,,,,
guanidinotides,other,,,,
halogenated,other,,,,
hgle-ks,pks,,,,
hserlactone,other,,,,
indole,other,,,,
lap,ripp,,,,
ladderane,other,,,,
lanthipeptide-class-i,ripp,,,,
lanthipeptide-class-ii,ripp,,,,
lanthipeptide-class-iii,ripp,,,,
lanthipeptide-class-iv,ripp,,,,
lanthipeptide-class-v,ripp,,,,
lassopeptide,ripp,,,,
linaridin,other,,,,
lipolanthine,other,,,,
microviridin,other,,,,
naggn,other,,,,
napaa,other,,,,
nrps,nrps,,,,
nrps-like,nrps,,,,
nucleoside,other,,,,
oligosaccharide,saccharide,,,,
other,other,,,,
pbde,other,,,,
phenazine,other,,,,
phosphoglycolipid,other,,,,
phosphonate,other,,,,
pks-like,pks,,,,
ppys-ks,other,,,,
proteusin,other,,,,
pufa,other,,,,
pyrrolidine,other,,,,
ranthipeptide,ripp,,,,
ras-ripp,other,,,,
redox-cofactor,other,,,,
resorcinol,other,,,,
ripp-like,ripp,,,,
rre-containing,ripp,,,,
saccharide,saccharide,,,,
sactipeptide,ripp,,,,
siderophore,other,,,,
t1pks,pks,,,,
t2pks,pks,,,,
t3pks,pks,,,,
terpene,terpene,,,,
thioamitides,other,,,,
thioamide-nrp,other,,,,
thiopeptide,ripp,,,,
transat-pks,pks,,,,
transat-pks-like,pks,,,,
tropodithietic-acid,other,,,,
bacteriocin,ripp,,,,
fused,other,,,,
head_to_tail,other,,,,
lanthidin,other,,,,
lanthipeptide,ripp,,,,
tfua-related,other,,,,
otherks,other,,,,
microcin,other,,,,
cf_saccharide,saccharide,,,,
cf_fatty_acid,other,,,,
cf_putative,other,,,,
