"Hit","Start","Stop","Core","Description","Count","ID","Cluster","Type","Type2","Evalue","Bitscore","Model"
"hit_1",161236,162553,"TIGR01513","NAPRTase_put: nicotinate phosphoribosyltransferase",2,1,1,"core","core",NA,NA,"Core"
"hit_1",197220,199917,"TIGR01828","pyru_phos_dikin: pyruvate, phosphate dikinase",2,2,2,"core","core",NA,NA,"Core"
"hit_1",457483,457654,"TIGR01031","rpmF_bact: ribosomal protein bL32",2,3,3,"core","core",NA,NA,"Core"
"hit_1",544193,545717,"TIGR01311","glycerol_kin: glycerol kinase",2,4,4,"core","core",NA,NA,"Core"
NA,583522,586897,"Not_core","Biotin_lipoyl",1,5,5,"resistance","resistance",4.7e-15,54,"PF00364.17"
"hit_1",612155,612320,"TIGR01023","rpmG_bact: ribosomal protein bL33",3,6,6,"core","core",NA,NA,"Core"
"hit_1",620366,620879,"TIGR02133","RPI_actino: ribose 5-phosphate isomerase",2,7,7,"core","core",NA,NA,"Core"
NA,740313,742083,"Not_core","ABC_efflux",1,8,8,"resistance","resistance",3.9e-74,248.9,"RF0007"
NA,796976,797723,"Not_core","Biotin_lipoyl",1,9,9,"resistance","resistance",3.4e-06,25.7,"PF00364.17"
"hit_1",1035207,1036800,"TIGR01344","malate_syn_A: malate synthase A",2,10,10,"core","core",NA,NA,"Core"
"hit_1",1116446,1117826,"TIGR03356","BGL: beta-galactosidase",5,11,11,"core","core",NA,NA,"Core"
NA,1202479,1204282,"Not_core","ABC_efflux",1,12,12,"resistance","resistance",8.4e-81,270.9,"RF0007"
"hit_1",1210321,1210594,"TIGR00105","L31: ribosomal protein bL31",3,13,13,"core","core",NA,NA,"Core"
"hit_1",1282581,1283235,"TIGR00079","pept_deformyl: peptide deformylase",3,14,14,"core","core",NA,NA,"Core"
NA,1338247,1339366,"Not_core","Biotin_lipoyl",1,15,15,"resistance","resistance",7.5e-09,34.2,"PF00364.17"
"hit_1",1396237,1397416,"TIGR00485","EF-Tu: translation elongation factor Tu",2,16,16,"core","core",NA,NA,"Core"
"hit_1",1401206,1402082,"TIGR00753","undec_PP_bacA: undecaprenyl-diphosphatase UppP",2,17,17,"core","core",NA,NA,"Core"
NA,1494023,1495871,"Not_core","HSP90",1,18,18,"resistance","resistance",3.6e-07,28,"PF00183.13"
NA,1590406,1591387,"Not_core","OTCace",1,19,19,"resistance","resistance",4.9e-37,126.3,"PF00185.19"
"hit_1",1636965,1638942,"TIGR00418","thrS: threonine--tRNA ligase",2,20,20,"core","core",NA,NA,"Core"
"hit_1",1662891,1666530,"TIGR03160","cobT_DBIPRT: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase",2,21,21,"core","core",NA,NA,"Core"
NA,1757648,1758413,"Not_core","Proteasome",1,22,22,"resistance","resistance",1.9e-26,91.6,"PF00227.21"
NA,1758474,1759320,"Not_core","Proteasome",1,23,23,"resistance","resistance",2.6e-38,130.3,"PF00227.21"
"hit_2",1778725,1780264,"TIGR01311","glycerol_kin: glycerol kinase",2,24,24,"core","core",NA,NA,"Core"
"hit_1",1923749,1924289,"TIGR00481","TIGR00481: Raf kinase inhibitor-like protein, YbhB/YbcL family",2,25,25,"core","core",NA,NA,"Core"
