"Type","Cluster","Start","Stop","chromosome","Type2"
"eicosapentaenoic acid",1,103627,129988,"C","eicosapentaenoic acid"
"isorenieratene (12)",2,173767,199945,"C","isorenieratene (12)"
"lantibiotic",3,255310,281086,"C","lantibiotic"
"deoxysugar",4,395938,422413,"C","deoxysugar"
"coelichelin (5)",5,511034,535822,"C","coelichelin (5)"
"bacteriocin",6,796583,821798,"C","bacteriocin"
"thn (6), flaviolin (7)",7,1277624,1303748,"C","thn (6), flaviolin (7)"
"aromatic polyketide",8,1336563,1360694,"C","aromatic polyketide"
"5-hydroxyectoine (14)",9,1998467,2023979,"C","5-hydroxyectoine (14)"
"melanin",10,2944321,2968455,"C","melanin"
"desferrioxamine (13)",11,3035640,3062082,"C","desferrioxamine (13)"
"calcium-dep. antibiotic (3)",12,3520902,3544448,"C","calcium-dep. antibiotic (3)"
"actinorhodin (1)",13,5514248,5538808,"C","actinorhodin (1)"
"albaflavenone (11)",14,5681015,5707100,"C","albaflavenone (11)"
"gray spore pigment",15,5786087,5810752,"C","gray spore pigment"
"siderophore",16,6338948,6365546,"C","siderophore"
"prodiginine (2)",17,6432565,6458617,"C","prodiginine (2)"
"geosmin (9)",18,6666218,6693398,"C","geosmin (9)"
"γ-butyrolactone scb1 (15)",19,6891292,6917236,"C","γ-butyrolactone scb1 (15)"
"hexaketide",20,6907355,6925897,"C","hexaketide"
"dipeptide",21,7104901,7131289,"C","dipeptide"
"lanthionine-cont. peptide sapb",22,7419663,7447455,"C","lanthionine-cont. peptide sapb"
"hopene (4)",23,7516016,7541927,"C","hopene (4)"
"polyketide",24,7591451,7615411,"C","polyketide"
"lantibiotic",25,7692904,7716780,"C","lantibiotic"
"germicidin (8)",26,8027474,8051305,"C","germicidin (8)"
"aromatic polyketide",27,8494579,8518548,"C","aromatic polyketide"
"coelibactin",28,8506121,8529460,"C","coelibactin"
"2-methylisoborneol (10)",29,8537029,8563351,"C","2-methylisoborneol (10)"
"methylenomycin (18), 2-alkyl-4- (hydroxymethyl)furan-3- carboxylic acids (17)",30,232199,256675,"C","methylenomycin (18), 2-alkyl-4- (hydroxymethyl)furan-3- carboxylic acids (17)"
