"Cluster","Start","Stop","Type"
1,260780,289035,"pks__nrps"
2,740318,741556,"melanin"
3,1112782,1275331,"pks__nrps"
4,1633484,1647940,"pks"
5,2303100,2303505,"ectoine"
6,2701203,2707506,"pentangular_polyphenol"
7,2935789,2947755,"pks"
8,3323049,3324394,"melanin"
9,3415877,3417647,"nis_synthase"
10,4502785,4535739,"pks__nrps"
11,6473614,6480794,"nrps"
12,6498082,6525437,"lasso_peptide__nrps"
13,6623240,6677166,"pks__nrps__angucycline"
14,6982007,6996654,"butyrolactone"
15,7292045,7303149,"class_i_lantipeptide__lasso_peptide"
16,7470952,7483810,"lasso_peptide"
17,7575697,7648356,"pks__nrps"
18,7705774,7792970,"pks"
19,8020158,8058955,"nrps"
20,8414751,8433666,"pks"
