"seqname","source","Cluster","Start","Stop","score","strand","frame","Type","chromosome","Type2"
"NZ_CP042324.1","SanntiSv0.9.3.3",1,12285,133520,".",".",".","polyketide","EM","polyketide"
"NZ_CP042324.1","SanntiSv0.9.3.3",2,172170,184797,".",".",".","terpene","EM","terpene"
"NZ_CP042324.1","SanntiSv0.9.3.3",3,202863,266263,".",".",".","alkaloid","EM","alkaloid"
"NZ_CP042324.1","SanntiSv0.9.3.3",4,395065,425157,".",".",".","saccharide","EM","saccharide"
"NZ_CP042324.1","SanntiSv0.9.3.3",5,497375,536408,".",".",".","nrp","EM","nrp"
"NZ_CP042324.1","SanntiSv0.9.3.3",6,583522,601051,".",".",".","nrp polyketide","EM","nrp polyketide"
"NZ_CP042324.1","SanntiSv0.9.3.3",7,846084,853212,".",".",".","ripp","EM","ripp"
"NZ_CP042324.1","SanntiSv0.9.3.3",8,1241590,1282541,".",".",".","nrp","EM","nrp"
"NZ_CP042324.1","SanntiSv0.9.3.3",9,1332873,1367440,".",".",".","polyketide","EM","polyketide"
"NZ_CP042324.1","SanntiSv0.9.3.3",10,1994053,2009395,".",".",".","other","EM","other"
"NZ_CP042324.1","SanntiSv0.9.3.3",11,2539582,2565877,".",".",".","polyketide","EM","polyketide"
"NZ_CP042324.1","SanntiSv0.9.3.3",12,2615131,2639798,".",".",".","ripp","EM","ripp"
"NZ_CP042324.1","SanntiSv0.9.3.3",13,2792392,2812253,".",".",".","saccharide","EM","saccharide"
"NZ_CP042324.1","SanntiSv0.9.3.3",14,2927749,2964702,".",".",".","other","EM","other"
"NZ_CP042324.1","SanntiSv0.9.3.3",15,3004801,3043723,".",".",".","other","EM","other"
"NZ_CP042324.1","SanntiSv0.9.3.3",16,3382380,3399072,".",".",".","other","EM","other"
"NZ_CP042324.1","SanntiSv0.9.3.3",17,3513073,3606342,".",".",".","nrp","EM","nrp"
"NZ_CP042324.1","SanntiSv0.9.3.3",18,4006935,4028808,".",".",".","polyketide","EM","polyketide"
"NZ_CP042324.1","SanntiSv0.9.3.3",19,5502704,5539733,".",".",".","polyketide","EM","polyketide"
"NZ_CP042324.1","SanntiSv0.9.3.3",20,5680218,5684576,".",".",".","terpene","EM","terpene"
"NZ_CP042324.1","SanntiSv0.9.3.3",21,5776741,5798684,".",".",".","polyketide","EM","polyketide"
"NZ_CP042324.1","SanntiSv0.9.3.3",22,5927800,5941379,".",".",".","ripp","EM","ripp"
"NZ_CP042324.1","SanntiSv0.9.3.3",23,6334614,6343370,".",".",".","other","EM","other"
"NZ_CP042324.1","SanntiSv0.9.3.3",24,6433764,6470988,".",".",".","nrp polyketide","EM","nrp polyketide"
"NZ_CP042324.1","SanntiSv0.9.3.3",25,6830272,6877184,".",".",".","polyketide","EM","polyketide"
"NZ_CP042324.1","SanntiSv0.9.3.3",26,6884252,6984001,".",".",".","polyketide","EM","polyketide"
"NZ_CP042324.1","SanntiSv0.9.3.3",27,7084064,7146243,".",".",".","nrp","EM","nrp"
"NZ_CP042324.1","SanntiSv0.9.3.3",28,7508709,7540017,".",".",".","terpene","EM","terpene"
"NZ_CP042324.1","SanntiSv0.9.3.3",29,7581046,7606355,".",".",".","polyketide","EM","polyketide"
"NZ_CP042324.1","SanntiSv0.9.3.3",30,7655814,7715820,".",".",".","other","EM","other"
"NZ_CP042324.1","SanntiSv0.9.3.3",31,8022244,8030491,".",".",".","polyketide","EM","polyketide"
"NZ_CP042324.1","SanntiSv0.9.3.3",32,8490911,8620226,".",".",".","polyketide","EM","polyketide"
