"start","end","label","description"
86693,139654,"hgle-ks__t1pks","anti"
166700,191657,"terpene","anti"
246867,270397,"lanthipeptide-class-i","anti"
494259,544087,"nrps","anti"
791700,799942,"ripp-like","anti"
1258217,1297040,"t3pks","anti"
1995499,2005898,"ectoine","anti"
2939305,2949875,"melanin","anti"
3034430,3045603,"siderophore","anti"
3524827,3603907,"nrps","anti"
5496473,5567376,"t2pks","anti"
5671274,5691836,"terpene","anti"
5751944,5824487,"t2pks","anti"
6336090,6346443,"siderophore","anti"
6429574,6475291,"nrps-like__t1pks__prodigiosin","anti"
6632342,6643659,"ripp-like","anti"
6656903,6676224,"terpene","anti"
6842314,6855522,"siderophore","anti"
6881334,6951537,"t1pks__butyrolactone","anti"
7088263,7142447,"thioamide-nrp__nrps","anti"
7409741,7432456,"lanthipeptide-class-iii","anti"
7506307,7532117,"terpene","anti"
7570411,7618555,"pks-like__t1pks","anti"
7682906,7709360,"lanthipeptide-class-i","anti"
7973469,8047403,"other__t3pks","anti"
8269636,8290764,"indole","anti"
8475101,8548352,"t3pks__nrps__terpene","anti"
103627,129988,"eicosapentaenoic acid","compare"
173767,199945,"isorenieratene (12)","compare"
255310,281086,"lantibiotic","compare"
395938,422413,"deoxysugar","compare"
511034,535822,"coelichelin (5)","compare"
796583,821798,"bacteriocin","compare"
1277624,1303748,"thn (6), flaviolin (7)","compare"
1336563,1360694,"aromatic polyketide","compare"
1998467,2023979,"5-hydroxyectoine (14)","compare"
2944321,2968455,"melanin","compare"
3035640,3062082,"desferrioxamine (13)","compare"
3520902,3544448,"calcium-dep. antibiotic (3)","compare"
5514248,5538808,"actinorhodin (1)","compare"
5681015,5707100,"albaflavenone (11)","compare"
5786087,5810752,"gray spore pigment","compare"
6338948,6365546,"siderophore","compare"
6432565,6458617,"prodiginine (2)","compare"
6666218,6693398,"geosmin (9)","compare"
6891292,6917236,"γ-butyrolactone scb1 (15)","compare"
6907355,6925897,"hexaketide","compare"
7104901,7131289,"dipeptide","compare"
7419663,7447455,"lanthionine-cont. peptide sapb","compare"
7516016,7541927,"hopene (4)","compare"
7591451,7615411,"polyketide","compare"
7692904,7716780,"lantibiotic","compare"
8027474,8051305,"germicidin (8)","compare"
8494579,8518548,"aromatic polyketide","compare"
8506121,8529460,"coelibactin","compare"
8537029,8563351,"2-methylisoborneol (10)","compare"
232199,256675,"methylenomycin (18), 2-alkyl-4- (hydroxymethyl)furan-3- carboxylic acids (17)","compare"
170910,191657,"terpene","deep"
211747,220764,"pks","deep"
251763,262319,"ripp","deep"
320109,322255,"pks","deep"
332310,341318,"pks","deep"
370065,372478,"pks","deep"
431961,437224,"pks","deep"
586986,589546,"pks","deep"
815933,824058,"pks","deep"
1050594,1054583,"ripp","deep"
1275829,1279960,"terpene","deep"
1327990,1363153,"pks","deep"
1405030,1412625,"pks","deep"
2549403,2569910,"pks","deep"
2934113,2967589,"saccharide","deep"
3526136,3603907,"nrps","deep"
3782902,3788943,"ripp","deep"
4115027,4137513,"ripp","deep"
5055827,5059681,"pks","deep"
5510515,5536994,"pks","deep"
5765662,5797479,"pks","deep"
6552934,6557688,"pks","deep"
6889623,6949758,"pks","deep"
