"Cluster","Start","Stop","Type","Type2","chromosome","ID"
1,103780,128290,"pks","pks","P",1
2,255310,261084,"class_i_lantipeptide","class_i_lantipeptide","P",2
3,513988,533448,"nrps","nrps","P",3
4,586986,589546,"pks","pks","P",4
5,2000499,2000898,"ectoine","ectoine","P",5
6,2559339,2563090,"pks","pks","P",6
7,2938688,2944875,"melanin","melanin","P",7
8,3038894,3040682,"nis_synthase","nis_synthase","P",8
9,3513615,3585724,"nrps","nrps","P",9
10,5511270,5534546,"benzoisochromanequinone","benzoisochromanequinone","P",10
11,5785752,5795837,"pentangular_polyphenol","pentangular_polyphenol","P",11
12,6432592,6458318,"pks__nrps","pks__nrps","P",12
13,6890527,6947423,"butyrolactone__pks","butyrolactone__pks","P",13
14,7108263,7120497,"nrps","nrps","P",14
15,7414295,7422622,"class_iii_iv_lantipeptide","class_iii_iv_lantipeptide","P",15
16,7586409,7598555,"pks","pks","P",16
17,7695015,7699626,"class_i_lantipeptide","class_i_lantipeptide","P",17
18,8504460,8523749,"nrps","nrps","P",18
19,231675,251017,"butyrolactone__furan","butyrolactone__furan","P",19
