"Cluster","Start","Stop","Type"
1,265499,285807,"pks"
2,322194,323364,"nrps"
3,678973,680272,"nrps"
4,800581,817050,"nrps"
5,1077319,1078492,"nrps"
6,1120168,1273261,"nrps__pks-nrps"
7,1634731,1645837,"pks"
8,1735774,1737064,"nrps"
9,2102191,2103460,"nrps"
10,2627016,2628345,"nrps"
11,2703209,2704668,"pks"
12,2944104,2946367,"pks"
13,2987966,2989091,"nrps"
14,3123926,3125336,"nrps"
15,3677936,3678632,"nrps"
16,3939899,3941174,"nrps"
17,3974093,3997968,"nrps"
18,4357991,4359218,"nrps"
19,4511151,4550615,"nrps-pks"
20,4830004,4831306,"nrps"
21,5072759,5074112,"nrps"
22,6473671,6476491,"nrps"
23,6498100,6519166,"nrps"
24,6608007,6648672,"nrps-pks__pks-nrps"
25,6907668,6910487,"nrps"
26,7025702,7026944,"nrps"
27,7064162,7065458,"nrps"
28,7274612,7275953,"nrps"
29,7475842,7477030,"nrps"
30,7578772,7646060,"pks"
31,7719109,7790550,"pks"
32,8020281,8058514,"nrps"
33,8421143,8427440,"pks"
