"Cluster","Start","Stop","Type"
1,246652,307928,"t1pks__nrps-like"
2,325165,346365,"amglyccycl"
3,736284,745348,"melanin"
4,998058,1051082,"t3pks__other"
5,1121706,1292282,"oligosaccharide__pks-like__t1pks__nrps"
6,1453680,1494745,"t3pks"
7,1618485,1667940,"t1pks__hgle-ks"
8,2298100,2308505,"ectoine"
9,2669164,2740782,"t2pks"
10,3180406,3199484,"terpene"
11,3318899,3329394,"melanin"
12,3411659,3422303,"siderophore"
13,4492104,4583340,"nrps__transat-pks__other"
14,4669908,4678868,"ripp-like"
15,4990708,5013025,"lap"
16,5727277,5746817,"terpene"
17,6374218,6384127,"siderophore"
18,6453758,6538291,"nrps__lassopeptide"
19,6546409,6568422,"terpene"
20,6586783,6683387,"ripp-like__nrps__t2pks__napaa__oligosaccharide"
21,6731996,6741890,"ripp-like"
22,6761411,6782429,"terpene"
23,6951363,6964533,"siderophore"
24,6982756,6993755,"butyrolactone"
25,7009742,7037247,"betalactone"
26,7285072,7313149,"lassopeptide__rre-containing__lanthipeptide-class-i"
27,7417158,7443982,"terpene"
28,7471349,7493810,"lassopeptide"
29,7556442,7665592,"t1pks__nrps-like"
30,7699487,7810757,"t1pks"
31,8000158,8078955,"nrps__ripp-like"
32,8401116,8447860,"t1pks"
33,8452278,8498749,"oligosaccharide__rre-containing__lap"
