"Hit","Start","Stop","Core","Description","Count","ID","Cluster","Type","Type2","Evalue","Bitscore","Model"
"hit_1",189420,190434,"TIGR02027","rpoA: DNA-directed RNA polymerase, alpha subunit",2,1,1,"core","core",NA,NA,"Core"
"hit_1",218352,219531,"TIGR01915","npdG: NADPH-dependent F420 reductase",3,2,2,"core","core",NA,NA,"Core"
"hit_1",342334,342592,"TIGR01808","CM_M_hiGC-arch: chorismate mutase",2,3,3,"core","core",NA,NA,"Core"
"hit_1",378025,379105,"TIGR00020","prfB: peptide chain release factor 2",2,4,4,"core","core",NA,NA,"Core"
"hit_2",441250,441925,"TIGR01915","npdG: NADPH-dependent F420 reductase",3,5,5,"core","core",NA,NA,"Core"
"hit_1",604511,605669,"TIGR00635","ruvB: Holliday junction DNA helicase RuvB",2,6,6,"core","core",NA,NA,"Core"
"hit_1",610010,611042,"TIGR02012","tigrfam_recA: protein RecA",2,7,7,"core","core",NA,NA,"Core"
NA,684440,686288,"Not_core","ABC_efflux",1,8,8,"resistance","resistance",4.4e-92,307.9,"RF0007"
"hit_1",832714,834106,"TIGR01513","NAPRTase_put: nicotinate phosphoribosyltransferase",2,9,9,"core","core",NA,NA,"Core"
"hit_1",894045,895044,"TIGR01534","GAPDH-I: glyceraldehyde-3-phosphate dehydrogenase, type I",2,10,10,"core","core",NA,NA,"Core"
NA,894045,895044,"Not_core","Gp_dh_N",1,11,11,"resistance","resistance",3.1e-52,175.3,"PF00044.19"
"hit_1",913851,915291,"TIGR03356","BGL: beta-galactosidase",4,12,12,"core","core",NA,NA,"Core"
NA,964792,968566,"Not_core","Biotin_lipoyl",1,13,13,"resistance","resistance",5.5e-15,53.6,"PF00364.17"
"hit_1",1006626,1008339,"TIGR02891","CtaD_CoxA: cytochrome c oxidase, subunit I",5,14,14,"core","core",NA,NA,"Core"
