#Core_gene	Count	Ref_median	Ref_stdev	Ref_RSD	Ref_ubiquity	[Hits_listed]	Description
TIGR00204	2.0	1.0	0.3053	0.8105	0.8842	[Unknown|dxs1|1-deoxy-D-xylulose-5-phosphate synthase|loc|6712277 6714206 1 # ID=1_5943|Type=CDS|transl_table=11; Unknown|dxs2|1-deoxy-D-xylulose-5-phosphate synthase|loc|7436822 7438721 1 # ID=1_6578|Type=CDS|transl_table=11]	dxs: 1-deoxy-D-xylulose-5-phosphate synthase
TIGR00009	2.0	1.0	0.5021	0.6421	0.9895	[Unknown|rpmB1|50S ribosomal protein L28|loc|4887509 4887746 -1 # ID=1_4317|Type=CDS|transl_table=11; Unknown|rpmB2|50S ribosomal protein L28|loc|6124403 6124589 -1 # ID=1_5460|Type=CDS|transl_table=11]	L28: ribosomal protein bL28
TIGR00612	2.0	1.0	0.3531	0.8526	0.9526	[Unknown|ispG1|4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase|loc|6242068 6243226 1 # ID=1_5567|Type=CDS|transl_table=11; Unknown|ispG2|4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase|loc|7435657 7436791 1 # ID=1_6577|Type=CDS|transl_table=11]	ispG_gcpE: 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
TIGR02274	2.0	1.0	0.1643	0.9211	0.9474	[Unknown|dcd1|Deoxycytidine triphosphate deaminase|loc|4719717 4720293 1 # ID=1_4174|Type=CDS|transl_table=11; Unknown|dcd2|Deoxycytidine triphosphate deaminase|loc|8486597 8487128 1 # ID=1_7362|Type=CDS|transl_table=11]	dCTP_deam: deoxycytidine triphosphate deaminase
TIGR02349	2.0	1.0	0.491	0.4632	0.7789	[Unknown|dnaJ1|Chaperone protein DnaJ|loc|3116201 3117338 -1 # ID=1_2771|Type=CDS|transl_table=11; Unknown|dnaJ2|Chaperone protein DnaJ|loc|4733940 4735113 1 # ID=1_4187|Type=CDS|transl_table=11]	DnaJ_bact: chaperone protein DnaJ
TIGR00165	2.0	1.0	0.4663	0.7421	1.0	[Unknown|rpsR1|30S ribosomal protein S18|loc|4433682 4433919 -1 # ID=1_3932|Type=CDS|transl_table=11; Unknown|rpsR2|30S ribosomal protein S18 1|loc|4889393 4889627 1 # ID=1_4321|Type=CDS|transl_table=11]	S18: ribosomal protein bS18
TIGR00220	2.0	1.0	0.3192	0.8053	0.8684	[Unknown|mscL1|Large-conductance mechanosensitive channel|loc|3853401 3853878 1 # ID=1_3391|Type=CDS|transl_table=11; Unknown|mscL2|Large-conductance mechanosensitive channel|loc|8550888 8551332 1 # ID=1_7418|Type=CDS|transl_table=11]	mscL: large conductance mechanosensitive channel protein
TIGR00876	2.0	1.0	0.3758	0.8053	0.9211	[Unknown|tal2|Transaldolase|loc|2373526 2374645 1 # ID=1_2103|Type=CDS|transl_table=11; Unknown|tal5|Transaldolase|loc|7343748 7344918 -1 # ID=1_6497|Type=CDS|transl_table=11]	tal_mycobact: transaldolase
TIGR01356	2.0	1.0	0.2757	0.8737	0.9526	[Unknown|aroA1|3-phosphoshikimate 1-carboxyvinyltransferase|loc|3380360 3381596 -1 # ID=1_2990|Type=CDS|transl_table=11; Unknown|aroA2|3-phosphoshikimate 1-carboxyvinyltransferase|loc|5721614 5722931 -1 # ID=1_5094|Type=CDS|transl_table=11]	aroA: 3-phosphoshikimate 1-carboxyvinyltransferase
TIGR00871	2.0	1.0	0.7244	0.6526	0.9316	[Unknown|zwf1|Glucose-6-phosphate 1-dehydrogenase|loc|2374646 2376185 1 # ID=1_2104|Type=CDS|transl_table=11; Unknown|zwf2|Glucose-6-phosphate 1-dehydrogenase|loc|7342162 7343752 -1 # ID=1_6496|Type=CDS|transl_table=11]	zwf: glucose-6-phosphate dehydrogenase
