"Cluster","Start","Stop","Type"
1,106723,110434,"pks"
2,307598,308816,"nrps"
3,513997,524488,"nrps"
4,1405117,1405750,"nrps"
5,1477976,1479275,"nrps"
6,2290771,2292100,"nrps"
7,2559357,2561673,"pks"
8,2622623,2623751,"nrps"
9,2762807,2764220,"nrps"
10,2963180,2964527,"nrps"
11,3328396,3329098,"nrps"
12,3543364,3584771,"nrps"
13,3797561,3798752,"nrps"
14,3941523,3942822,"nrps"
15,4398632,4399859,"nrps"
16,4799973,4801182,"nrps"
17,4923207,4924557,"nrps"
18,5531212,5532682,"pks"
19,5786632,5788168,"pks"
20,6447994,6454855,"nrps-pks"
21,6558978,6560136,"nrps"
22,6804366,6807194,"nrps"
23,6901254,6931905,"pks"
24,7004464,7004725,"nrps"
25,7108290,7116050,"nrps"
26,7249252,7250602,"nrps"
27,7549538,7550897,"nrps"
28,7591514,7598516,"pks"
29,7734541,7735729,"nrps"
30,8053551,8054721,"nrps"
31,8140076,8141438,"nrps"
32,8282564,8283500,"nrps"
33,8504751,8523677,"nrps"
