"Cluster","Start","Stop","Type","Type2","chromosome","ID"
1,106723,110434,"pks","pks","S",1
2,307598,308816,"nrps","nrps","S",2
3,513997,524488,"nrps","nrps","S",3
4,1405117,1405750,"nrps","nrps","S",4
5,1477976,1479275,"nrps","nrps","S",5
6,2290771,2292100,"nrps","nrps","S",6
7,2559357,2561673,"pks","pks","S",7
8,2622623,2623751,"nrps","nrps","S",8
9,2762807,2764220,"nrps","nrps","S",9
10,2963180,2964527,"nrps","nrps","S",10
11,3328396,3329098,"nrps","nrps","S",11
12,3543364,3584771,"nrps","nrps","S",12
13,3797561,3798752,"nrps","nrps","S",13
14,3941523,3942822,"nrps","nrps","S",14
15,4398632,4399859,"nrps","nrps","S",15
16,4799973,4801182,"nrps","nrps","S",16
17,4923207,4924557,"nrps","nrps","S",17
18,5531212,5532682,"pks","pks","S",18
19,5786632,5788168,"pks","pks","S",19
20,6447994,6454855,"nrps-pks","nrps-pks","S",20
21,6558978,6560136,"nrps","nrps","S",21
22,6804366,6807194,"nrps","nrps","S",22
23,6901254,6931905,"pks","pks","S",23
24,7004464,7004725,"nrps","nrps","S",24
25,7108290,7116050,"nrps","nrps","S",25
26,7249252,7250602,"nrps","nrps","S",26
27,7549538,7550897,"nrps","nrps","S",27
28,7591514,7598516,"pks","pks","S",28
29,7734541,7735729,"nrps","nrps","S",29
30,8053551,8054721,"nrps","nrps","S",30
31,8140076,8141438,"nrps","nrps","S",31
32,8282564,8283500,"nrps","nrps","S",32
33,8504751,8523677,"nrps","nrps","S",33
