#Model	Description	Sequence id	evalue	bitscore	Sequence description
RF0002	AAC3	2095	4.6e-56	188.6	lcl|2095|scaffold_1|source|scaffold_1|loc|2364003_2364819_1
RF0007	ABC_efflux	2995	7.5e-171	568.0	lcl|2995|scaffold_1|source|scaffold_1|loc|3386420_3390140_-1
RF0007	ABC_efflux	2683	2.6e-97	325.3	lcl|2683|scaffold_1|source|scaffold_1|loc|3018957_3020886_1
RF0007	ABC_efflux	6764	4.2e-90	301.6	lcl|6764|scaffold_1|source|scaffold_1|loc|7715152_7717075_-1
RF0007	ABC_efflux	1730	3.3e-89	298.6	lcl|1730|scaffold_1|source|scaffold_1|loc|1968904_1970719_1
RF0007	ABC_efflux	1169	2.3e-80	269.4	lcl|1169|scaffold_1|source|scaffold_1|loc|1396252_1398055_-1
RF0007	ABC_efflux	6690	2.6e-79	266.0	lcl|6690|scaffold_1|source|scaffold_1|loc|7561437_7563333_1
RF0053	ClassA	7133	6.8e-96	319.4	lcl|7133|scaffold_1|source|scaffold_1|loc|8228981_8229911_1
RF0054	ClassB	1106	1.1e-24	85.9	lcl|1106|scaffold_1|source|scaffold_1|loc|1332261_1332990_1
PF00044.19	Gp_dh_N	2121	2.1e-61	205.3	lcl|2121|scaffold_1|source|scaffold_1|loc|2394674_2395682_-1
PF00044.19	Gp_dh_N	372	1.9e-53	179.5	lcl|372|scaffold_1|source|scaffold_1|loc|435560_436559_1
PF00044.19	Gp_dh_N	6299	1e-51	173.9	lcl|6299|scaffold_1|source|scaffold_1|loc|7122022_7123036_1
PF00044.19	Gp_dh_N	529	3.1e-39	133.3	lcl|529|scaffold_1|source|scaffold_1|loc|612650_614096_1
PF00183.13	HSP90	7231	3.2e-119	397.7	lcl|7231|scaffold_1|source|scaffold_1|loc|8332332_8334360_1
PF00185.19	OTCace	5850	6.6e-48	161.6	lcl|5850|scaffold_1|source|scaffold_1|loc|6600464_6601487_1
PF00185.19	OTCace	6291	5e-46	155.5	lcl|6291|scaffold_1|source|scaffold_1|loc|7114838_7115840_1
PF00185.19	OTCace	1633	3.9e-37	126.6	lcl|1633|scaffold_1|source|scaffold_1|loc|1861580_1862558_-1
PF00204.20	DNA_gyraseB	3964	7.8e-61	203.3	lcl|3964|scaffold_1|source|scaffold_1|loc|4472253_4474323_1
PF00204.20	DNA_gyraseB	5696	1e-51	173.6	lcl|5696|scaffold_1|source|scaffold_1|loc|6412139_6414263_1
PF00227.21	Proteasome	1800	2.4e-38	130.3	lcl|1800|scaffold_1|source|scaffold_1|loc|2041805_2042582_-1
PF00227.21	Proteasome	7058	1e-36	125.1	lcl|7058|scaffold_1|source|scaffold_1|loc|8134820_8135675_1
PF00227.21	Proteasome	1799	7.6e-27	92.8	lcl|1799|scaffold_1|source|scaffold_1|loc|2040988_2041744_-1
PF00364.17	Biotin_lipoyl	2375	1.1e-46	155.4	lcl|2375|scaffold_1|source|scaffold_1|loc|2683419_2685207_1
PF00364.17	Biotin_lipoyl	4071	1.1e-22	78.5	lcl|4071|scaffold_1|source|scaffold_1|loc|4605059_4606457_1
PF00364.17	Biotin_lipoyl	3010	3.1e-19	67.4	lcl|3010|scaffold_1|source|scaffold_1|loc|3406308_3408225_1
PF00364.17	Biotin_lipoyl	4060	2.6e-18	64.5	lcl|4060|scaffold_1|source|scaffold_1|loc|4591182_4592532_1
PF00364.17	Biotin_lipoyl	4843	3.4e-17	60.9	lcl|4843|scaffold_1|source|scaffold_1|loc|5436153_5437926_-1
PF00364.17	Biotin_lipoyl	3531	3.9e-16	57.5	lcl|3531|scaffold_1|source|scaffold_1|loc|3999303_4001145_-1
PF00364.17	Biotin_lipoyl	7094	1.4e-14	52.5	lcl|7094|scaffold_1|source|scaffold_1|loc|8179287_8182713_1
PF00521.15	DNA_topoisoIV	3965	4.3e-150	499.3	lcl|3965|scaffold_1|source|scaffold_1|loc|4474365_4476960_1
PF00521.15	DNA_topoisoIV	5712	1.8e-148	493.9	lcl|5712|scaffold_1|source|scaffold_1|loc|6430333_6432793_-1
PF01039.17	Carboxyl_trans	4847	4.6e-204	677.3	lcl|4847|scaffold_1|source|scaffold_1|loc|5439951_5441547_-1
PF01039.17	Carboxyl_trans	5426	6.3e-202	670.3	lcl|5426|scaffold_1|source|scaffold_1|loc|6086740_6088336_1
PF01039.17	Carboxyl_trans	5896	4.8e-191	634.4	lcl|5896|scaffold_1|source|scaffold_1|loc|6653508_6655083_1
PF01039.17	Carboxyl_trans	3009	7.3e-164	544.7	lcl|3009|scaffold_1|source|scaffold_1|loc|3404680_3406297_1
PF01039.17	Carboxyl_trans	3532	2.1e-139	464.1	lcl|3532|scaffold_1|source|scaffold_1|loc|4001153_4002752_-1
PF01039.17	Carboxyl_trans	2664	1.6e-27	95.1	lcl|2664|scaffold_1|source|scaffold_1|loc|2989365_2990754_1
PF13599.1	Pentapeptide_4	3624	9.4e-20	69.2	lcl|3624|scaffold_1|source|scaffold_1|loc|4096654_4097275_-1
TIGR02013	TIGR02013	4599	0	1805.2	lcl|4599|scaffold_1|source|scaffold_1|loc|5173119_5176605_1
TIGR00663	TIGR00663	3960	5.8e-89	297.3	lcl|3960|scaffold_1|source|scaffold_1|loc|4467911_4469042_1
