Gene name	BGC ID	BGC product	Model name	Probability	E-value	P-value	Score	SS	Columns	RRE start	RRE end
S136_genome__994964-995552__S136_04530	N\A	N\A	5V1V:B|PDBID|CHAIN|SEQUENCE	95.4	5.6e-08	1.9e-08	34.1	0.0	52	10	61
S136_genome__1303534-1303909__S136_05445	N\A	N\A	5V1V:B|PDBID|CHAIN|SEQUENCE	95.5	4e-08	1.3e-08	37.7	0.0	61	39	100
S136_genome__1417751-1418165__S136_06025	N\A	N\A	5V1V:B|PDBID|CHAIN|SEQUENCE	97.5	2.4e-11	7.9e-12	53.4	0.0	55	60	115
S136_genome__1751199-1751595__S136_07815	N\A	N\A	5SXY:A|PDBID|CHAIN|SEQUENCE	97.0	3.5e-10	1.2e-10	48.1	0.0	52	54	106
S136_genome__1833054-1833396__S136_08175	N\A	N\A	5SXY:A|PDBID|CHAIN|SEQUENCE	96.7	1.2e-09	3.9e-10	45.8	0.0	55	29	85
S136_genome__2025387-2025837__S136_09095	N\A	N\A	5V1V:B|PDBID|CHAIN|SEQUENCE	97.0	3.2e-10	1.1e-10	47.9	0.0	56	73	128
S136_genome__3718935-3719745__S136_16700	N\A	N\A	5V1V:B|PDBID|CHAIN|SEQUENCE	94.2	3.4e-07	1.1e-07	35.8	0.0	54	186	239
S136_genome__4179747-4180281__S136_18955	N\A	N\A	5V1V:B|PDBID|CHAIN|SEQUENCE	93.3	8.4e-07	2.8e-07	31.4	0.0	64	22	88
S136_genome__5001713-5002748__S136_22670	N\A	N\A	5V1V:B|PDBID|CHAIN|SEQUENCE	97.8	2.8e-12	9.2e-13	52.2	0.0	79	5	90
S136_genome__5798613-5799021__S136_26425	N\A	N\A	5V1V:B|PDBID|CHAIN|SEQUENCE	96.6	1.9e-09	6.3e-10	44.3	0.0	53	59	111
S136_genome__6097646-6098045__S136_27800	N\A	N\A	5V1V:B|PDBID|CHAIN|SEQUENCE	98.0	5e-13	1.7e-13	58.7	0.0	56	52	107
S136_genome__6524640-6524910__S136_29610	N\A	N\A	5V1V:B|PDBID|CHAIN|SEQUENCE	98.9	6.4e-17	2.1e-17	63.1	0.0	85	4	88
S136_genome__6591003-6592851__S136_29895	N\A	N\A	5V1V:B|PDBID|CHAIN|SEQUENCE	97.6	1.1e-11	3.8e-12	57.8	0.0	73	520	595
S136_genome__6592847-6593387__S136_29900	N\A	N\A	5V1V:B|PDBID|CHAIN|SEQUENCE	93.4	7.7e-07	2.6e-07	35.8	0.0	62	94	159
S136_genome__7295647-7295899__S136_32985	N\A	N\A	5V1V:B|PDBID|CHAIN|SEQUENCE	98.8	3e-16	1e-16	59.7	0.0	82	1	82
S136_genome__7300083-7303149__S136_33010	N\A	N\A	5V1V:B|PDBID|CHAIN|SEQUENCE	96.0	1.3e-08	4.3e-09	44.4	0.0	60	178	237
S136_genome__7454655-7455027__S136_33675	N\A	N\A	5V1V:B|PDBID|CHAIN|SEQUENCE	95.3	7.2e-08	2.4e-08	34.5	0.0	53	47	99
S136_genome__8473829-8475794__S136_37625	N\A	N\A	3G2B:A|PDBID|CHAIN|SEQUENCE	98.0	4.3e-13	1.4e-13	57.0	0.0	84	1	89
