"Start","Stop","Type","Type2","Score","Name","Full_name","ID","Cluster"
45266,46073,"resistance","resistance","247.3","AMR<sub>116</sub>","Puromycin MFS transporter",1,1
192879,194637,"regulatory","regulatory","1326.1","SCO0203","Two-component <br> Sensor kinase in S. coelicolor. ",2,2
194759,195461,"regulatory","regulatory","524.5","SCO0204","Two-component <br> Response regulator in S. coelicolor. Negative regulator of ACT: SCO0203",3,3
242202,242766,"regulatory","regulatory","433.5","SCO0253","TetR-type regulator <br> Regulator of SCO0252 of Streptomyces coelicolor: Tetracycline",4,4
288986,290456,"resistance","resistance","278.5","AMR<sub>261</sub>","EmrB: drug resistance MFS transporter",5,5
291314,292592,"regulatory","regulatory","459.1","MmyR","TetR-type regulator <br> Represses methylenomycin through inhibition of mmyB in S. coelicolor: (+) riggered by either of two environmental signals: alanine growth-rate-limiting conditions and/or an acidic pH shock.",6,6
322243,323938,"resistance","resistance","965","AMR<sub>139</sub>","Tylosin ABC transporters",7,7
333528,334149,"regulatory","regulatory","478","SCO0332","TetR-type regulator <br> Regulator of SCO0330 of Streptomyces coelicolor",8,8
373044,374001,"resistance","resistance","247.3","AMR<sub>116</sub>","Puromycin MFS transporter",9,9
389530,391123,"resistance","resistance","207.4","AMR<sub>116</sub>","Puromycin MFS transporter",10,10
662372,663014,"regulatory","regulatory","250.1","EsmT4","TetR-type regulator <br> Located in the esmeraldin biosynthesis cluster of Streptomyces antibioticus Tu 2706",11,11
663066,664686,"resistance","resistance","244.9","AMR<sub>224</sub>","Multidrug: subunit of efflux pump conferring antibiotic resistance",12,12
677226,678861,"resistance","resistance","1018.9","AMR<sub>297</sub>","Lukacidin ABC transporter",13,13
721494,722964,"resistance","resistance","235.3","AMR<sub>116</sub>","Puromycin MFS transporter",14,14
740313,742083,"resistance","resistance","245.8","AMR<sub>201</sub>","Multidrug ABC antibiotic efflux pump",15,15
1193397,1193988,"regulatory","regulatory","446.6","XdhR","TetR-type regulator <br> Regulator of xanthine dehydrogenase of Streptomyces coelicolor",16,16
1202479,1204282,"resistance","resistance","270.4","AMR<sub>201</sub>","Multidrug ABC antibiotic efflux pump",17,17
1262508,1264110,"resistance","resistance","614.3","AMR<sub>196</sub>","Tetracenomycin MFS transporter",18,18
1265840,1267331,"resistance","resistance","291.5","AMR<sub>261</sub>","EmrB: drug resistance MFS transporter",19,19
1636965,1638942,"resistance","resistance","764","AMR<sub>100</sub>","Borrelidin target isoform: threonyl-tRNA synthetase",20,20
1677148,1678681,"resistance","resistance","375.6","AMR<sub>271</sub>","Multidrug MFS transporter",21,21
1818350,1818878,"resistance","resistance","248.7","AMR<sub>264</sub>","Redox-sensitive transcriptional activator SoxR",22,22
1834288,1834906,"regulatory","regulatory","460.6","SCO1712","TetR-type regulator <br> Regulator of antibiotic production of Streptomyces coelicolor",23,23
1863881,1865048,"regulatory","regulatory","874.8","AbrA1","Two-component <br> Sensor kinase in S. coelicolor: Iron",24,24
1865044,1865710,"regulatory","regulatory","490.5","AbrA2","Two-component <br> Response regulator of S. coelicolor. Negative regulator of RED, ACT and CDA: AbrA1",25,25
1871316,1872921,"resistance","resistance","307.3","AMR<sub>271</sub>","Multidrug MFS transporter",26,26
1967793,1969392,"resistance","resistance","262","AMR<sub>286</sub>","Oxazolidinone ABC transporter",27,27
2059303,2060092,"resistance","resistance","261","AMR<sub>176</sub>","Aminoglycoside 3-N-acetyltransferase",28,28
2326326,2329452,"resistance","resistance","707.4","AMR<sub>211</sub>","AcrB/AcrD/AcrF family",29,29
2424358,2425390,"resistance","resistance","403.5","AMR<sub>263</sub>","Daunorubicin resistance ABC transporter",30,30
2453706,2454993,"resistance","resistance","326.3","AMR<sub>260</sub>","Efflux Bcr CflA: drug resistance transporter",31,31
2478171,2479632,"resistance","resistance","350.9","AMR<sub>116</sub>","Puromycin MFS transporter",32,32
2512482,2514552,"resistance","resistance","442","AMR<sub>150</sub>","Tetracycline MFS",33,33
2543006,2544617,"resistance","resistance","974.7","AMR<sub>196</sub>","Tetracenomycin MFS transporter",34,34
2544732,2545416,"regulatory","regulatory","180","TcmR","TetR-type regulator <br> Located in the tetracenomycin C biosynthesis cluster of Streptomyces glaucescens",35,35
2651102,2653031,"resistance","resistance","317.8","AMR<sub>201</sub>","Multidrug ABC antibiotic efflux pump",36,36
2691804,2693250,"resistance","resistance","284.5","AMR<sub>261</sub>","EmrB: drug resistance MFS transporter",37,37
2712739,2713435,"regulatory","regulatory","490.7","EcrA2","Two-component <br> Response regulator in S. coelicolor. Positive reg. in RED production.",38,38
2713431,2714784,"regulatory","regulatory","1014.6","EcrA1","Two-component <br> Sensory kinase in S. coelicolor.",39,39
2733654,2735148,"resistance","resistance","221.2","AMR<sub>116</sub>","Puromycin MFS transporter",40,40
2738851,2740243,"resistance","resistance","176.4","AMR<sub>246</sub>","Multidrug MFS transporter",41,41
2916747,2918412,"resistance","resistance","277.3","AMR<sub>286</sub>","Oxazolidinone ABC transporter",42,42
3010976,3014708,"resistance","resistance","278.8","AMR<sub>201</sub>","Multidrug ABC antibiotic efflux pump",43,43
3116520,3116931,"resistance","resistance","273.2","AMR<sub>298</sub>","Rifampin ADP ribosyl transferase",44,44
3354680,3355955,"regulatory","regulatory","932.8","DraK","Two-component <br> Histidine kinase of S. coelicolor. ",45,45
3355989,3356667,"regulatory","regulatory","517.3","DraR(CheY)","Two-component <br>  Response regulator in S. coelicolor. Positive regulator of ACT, negative of RED and yCPK: DraK",46,46
3467221,3469459,"resistance","resistance","1218.7","AMR<sub>311</sub>","Calcimycin ABC transporter",47,47
3506389,3507907,"resistance","resistance","273.2","AMR<sub>116</sub>","Puromycin MFS transporter",48,48
3509243,3509852,"regulatory","regulatory","452.7","SCO3201","TetR-type regulator <br> Regulator of antibiotic production of Streptomyces coelicolor",49,49
3513615,3515160,"resistance","resistance","715.9","AMR<sub>116</sub>","Puromycin MFS transporter",50,50
3529271,3531188,"regulatory","regulatory","1500.3","CdaR","Pathway-specific <br> CDA production in S. coelicolor",51,51
